ID_Agriculteur,Culture,Superficie_ha,Localisation,Irrigation,Solaire,IoT_sondes,Filets_Serres,Type_Sol,Gamma
AGR-001,Fruits_Rouges,6.6,Moulay Bousselham,0,1,2,1,Limoneux,0.68
AGR-002,Avocat,14.3,Kenitra,1,0,0,1,Limoneux,0.65
AGR-003,Avocat,11.4,Moulay Bousselham,1,1,1,0,Argileux,0.47
AGR-004,Avocat,9.6,Kenitra,1,1,1,1,Limoneux,0.87
AGR-005,Fruits_Rouges,3.6,Agadir,1,0,0,1,Sableux,0.65
AGR-006,Fruits_Rouges,3.6,Agadir,1,0,0,0,Argileux,0.25
AGR-007,Fruits_Rouges,2.3,Marrakech,1,1,0,0,Sableux,0.4
AGR-008,Avocat,13.2,Moulay Bousselham,1,1,0,1,Argileux,0.8
AGR-009,Avocat,9.6,Larache,0,0,0,0,Limoneux,0.0
AGR-010,Avocat,11.1,Moulay Bousselham,0,1,1,0,Sableux,0.22
AGR-011,Avocat,1.8,Moulay Bousselham,1,0,0,1,Limoneux,0.65
AGR-012,Fruits_Rouges,14.6,Marrakech,0,1,1,1,Sableux,0.62
AGR-013,Avocat,12.7,Marrakech,1,0,3,1,Sableux,0.85
AGR-014,Avocat,4.4,Agadir,1,1,0,1,Limoneux,0.8
AGR-015,Fruits_Rouges,4.0,Larache,1,1,1,0,Argileux,0.47
AGR-016,Fruits_Rouges,4.0,Moulay Bousselham,1,0,2,1,Sableux,0.78
AGR-017,Avocat,5.6,Kenitra,1,1,2,1,Argileux,0.93
AGR-018,Fruits_Rouges,8.6,Larache,0,1,0,0,Limoneux,0.15
AGR-019,Fruits_Rouges,7.3,Agadir,1,1,0,0,Sableux,0.4
AGR-020,Avocat,5.4,Moulay Bousselham,0,1,0,1,Argileux,0.55
AGR-021,Fruits_Rouges,9.8,Moulay Bousselham,0,1,1,0,Limoneux,0.22
AGR-022,Fruits_Rouges,3.4,Moulay Bousselham,0,1,2,0,Limoneux,0.28
AGR-023,Avocat,5.4,Moulay Bousselham,0,1,1,1,Sableux,0.62
AGR-024,Avocat,6.4,Moulay Bousselham,0,1,0,0,Sableux,0.15
AGR-025,Fruits_Rouges,7.7,Agadir,1,1,2,0,Sableux,0.53
AGR-026,Avocat,12.1,Larache,1,0,0,1,Argileux,0.65
AGR-027,Avocat,4.2,Marrakech,0,0,2,0,Sableux,0.13
AGR-028,Avocat,8.4,Moulay Bousselham,0,0,2,0,Argileux,0.13
AGR-029,Fruits_Rouges,9.5,Moulay Bousselham,1,1,0,0,Sableux,0.4
AGR-030,Fruits_Rouges,2.1,Moulay Bousselham,1,0,3,1,Sableux,0.85
AGR-031,Fruits_Rouges,9.7,Moulay Bousselham,1,0,1,0,Limoneux,0.32
AGR-032,Fruits_Rouges,3.8,Marrakech,1,1,1,1,Limoneux,0.87
AGR-033,Fruits_Rouges,2.4,Larache,0,0,1,0,Sableux,0.07
AGR-034,Fruits_Rouges,14.3,Agadir,0,0,2,0,Sableux,0.13
AGR-035,Avocat,14.5,Moulay Bousselham,0,0,1,1,Sableux,0.47
AGR-036,Fruits_Rouges,12.4,Moulay Bousselham,0,1,0,0,Sableux,0.15
AGR-037,Fruits_Rouges,5.6,Marrakech,0,0,0,1,Argileux,0.4
AGR-038,Fruits_Rouges,2.8,Moulay Bousselham,0,1,0,0,Limoneux,0.15
AGR-039,Fruits_Rouges,10.7,Kenitra,1,1,0,0,Argileux,0.4
AGR-040,Fruits_Rouges,7.4,Marrakech,0,0,0,1,Sableux,0.4
AGR-041,Fruits_Rouges,3.1,Larache,1,1,0,1,Argileux,0.8
AGR-042,Avocat,8.2,Marrakech,1,0,1,0,Sableux,0.32
AGR-043,Avocat,2.0,Agadir,1,1,0,0,Limoneux,0.4
AGR-044,Avocat,13.8,Agadir,0,1,0,0,Limoneux,0.15
AGR-045,Avocat,5.0,Marrakech,1,0,0,0,Sableux,0.25
AGR-046,Avocat,10.4,Moulay Bousselham,1,0,2,1,Sableux,0.78
AGR-047,Avocat,5.7,Moulay Bousselham,1,1,0,1,Limoneux,0.8
AGR-048,Avocat,8.5,Marrakech,1,0,2,1,Argileux,0.78
AGR-049,Fruits_Rouges,8.9,Larache,1,1,2,1,Argileux,0.93
AGR-050,Avocat,4.0,Marrakech,1,1,1,1,Argileux,0.87
AGR-051,Avocat,14.6,Moulay Bousselham,0,1,1,1,Limoneux,0.62
AGR-052,Avocat,12.0,Kenitra,0,1,0,0,Argileux,0.15
AGR-053,Avocat,14.2,Moulay Bousselham,1,1,1,0,Argileux,0.47
AGR-054,Fruits_Rouges,13.6,Agadir,1,1,2,0,Sableux,0.53
AGR-055,Fruits_Rouges,9.6,Moulay Bousselham,1,0,2,0,Sableux,0.38
AGR-056,Fruits_Rouges,13.9,Agadir,1,1,0,1,Limoneux,0.8
AGR-057,Avocat,2.7,Moulay Bousselham,0,0,2,0,Sableux,0.13
AGR-058,Fruits_Rouges,4.1,Marrakech,1,0,1,1,Argileux,0.72
AGR-059,Avocat,2.1,Agadir,0,0,0,0,Sableux,0.0
AGR-060,Avocat,5.9,Kenitra,0,1,0,1,Sableux,0.55
AGR-061,Fruits_Rouges,6.7,Larache,1,1,0,1,Sableux,0.8
AGR-062,Fruits_Rouges,5.2,Marrakech,0,0,0,1,Limoneux,0.4
AGR-063,Fruits_Rouges,12.7,Larache,1,1,0,0,Argileux,0.4
AGR-064,Fruits_Rouges,6.3,Kenitra,0,1,2,0,Sableux,0.28
AGR-065,Fruits_Rouges,5.3,Marrakech,1,0,0,1,Argileux,0.65
AGR-066,Fruits_Rouges,8.8,Kenitra,1,0,1,1,Argileux,0.72
AGR-067,Avocat,3.4,Marrakech,1,0,1,0,Argileux,0.32
AGR-068,Avocat,12.3,Larache,0,1,0,1,Argileux,0.55
AGR-069,Avocat,2.5,Agadir,1,0,0,1,Argileux,0.65
AGR-070,Avocat,14.8,Moulay Bousselham,1,1,0,0,Argileux,0.4
AGR-071,Avocat,11.9,Kenitra,1,0,0,1,Sableux,0.65
AGR-072,Fruits_Rouges,4.2,Larache,1,0,1,1,Sableux,0.72
AGR-073,Fruits_Rouges,1.6,Larache,1,1,0,0,Argileux,0.4
AGR-074,Avocat,12.5,Larache,0,1,0,1,Sableux,0.55
AGR-075,Fruits_Rouges,11.0,Marrakech,1,0,0,0,Argileux,0.25
AGR-076,Avocat,11.3,Agadir,1,0,0,1,Limoneux,0.65
AGR-077,Fruits_Rouges,11.9,Larache,1,0,0,1,Sableux,0.65
AGR-078,Avocat,2.5,Marrakech,1,1,1,1,Argileux,0.87
AGR-079,Avocat,6.3,Marrakech,0,0,2,0,Argileux,0.13
AGR-080,Avocat,3.1,Moulay Bousselham,0,0,1,1,Argileux,0.47
AGR-081,Fruits_Rouges,13.2,Larache,1,0,0,0,Limoneux,0.25
AGR-082,Avocat,9.9,Marrakech,0,1,0,1,Limoneux,0.55
AGR-083,Fruits_Rouges,6.0,Marrakech,0,0,1,0,Sableux,0.07
AGR-084,Fruits_Rouges,2.4,Kenitra,0,0,0,0,Sableux,0.0
AGR-085,Avocat,5.7,Kenitra,0,1,1,0,Argileux,0.22
AGR-086,Avocat,5.9,Marrakech,1,1,1,0,Argileux,0.47
AGR-087,Fruits_Rouges,11.3,Agadir,1,1,3,0,Sableux,0.6
AGR-088,Fruits_Rouges,10.1,Kenitra,0,0,2,1,Argileux,0.53
AGR-089,Avocat,13.5,Moulay Bousselham,0,1,0,0,Limoneux,0.15
AGR-090,Avocat,7.9,Larache,1,0,1,1,Argileux,0.72
AGR-091,Avocat,3.1,Moulay Bousselham,1,0,0,1,Argileux,0.65
AGR-092,Fruits_Rouges,11.1,Larache,1,0,0,1,Argileux,0.65
